Kategori,Kode,Judul,Deskripsi
J,60,"Aktivitas Pemrograman, Penyiaran, Kantor Berita, dan Distribusi Konten Lainnya","Golongan pokok ini mencakup aktivitas pembuatan konten atau perolehan hak untuk menyebarkannya, serta aktivitas penyiaran atau distribusi konten tersebut. Jenis konten yang diproduksi atau disebarkan meliputi siaran radio, televisi, hiburan audio dan audiovisual, berita, bincang-bincang, dan sejenisnya, termasuk program dengan format terbatas/narrowcast, seperti berita, olahraga, pendidikan, atau program yang ditujukan untuk kalangan muda. Penyiaran atau distribusi konten dalam golongan ini dapat dilakukan melalui berbagai teknologi, seperti, siaran udara (terestrial) atau over-the-air, satelit, jaringan kabel, atau melalui internet (termasuk penyiaran/broadcasting, siaran alir/streaming, atau pengunduhan/download). Golongan pokok ini juga mencakup aktivitas penyiaran siniar langsung (live podcast); aktivitas distribusi dan unduhan rekaman siniar oleh pihak ketiga atas dasar permintaan (on-demand); aktivitas kantor berita; aktivitas situs jejaring sosial, blog, dan wiki; aktivitas situs gim online dan video gim. Konten dapat tersedia secara gratis bagi pengguna atau dengan sistem berlangganan atau pembayaran. Golongan pokok ini tidak mencakup: aktivitas pengoperasian jaringan transmisi televisi kabel atau satelit, lihat golongan pokok 61; aktivitas produksi rekaman audio dan audiovisual (termasuk siniar terekam), aktivitas situs vlog, dan distribusi film, video, karya audiovisual, serta produksi sejenis di bioskop, jaringan atau stasiun televisi, dan pihak penyelenggara lainnya, lihat golongan pokok 59; perdagangan besar atau eceran rekaman audio dan video dalam media fisik, lihat golongan pokok 46 atau 47; toko pengecer surat kabar, lihat golongan pokok 47; aktivitas penyewaan cakram video, lihat golongan pokok 77; aktivitas aktivitas aktor independen (termasuk influencer yang muncul dalam vlog) dan bloger independen, lihat golongan pokok 90; aktivitas penerbitan video gim dan perangkat lunak lainnya, lihat golongan pokok 58; aktivitas penyediaan infrastruktur komputasi dan hosting, serta aktivitas portal pencarian web, lihat golongan pokok 63; aktivitas situs perjudian, lihat golongan pokok 92."
K,61,Telekomunikasi,"Golongan pokok ini mencakup aktivitas penyediaan telekomunikasi dan jasa YBDI, yaitu transmisi rekaman, data, teks, suara, dan video. Fasilitas transmisi yang menjalankan aktivitas ini dapat berbasis pada satu teknologi atau kombinasi berbagai teknologi. Umumnya aktivitas yang diklasifikasikan dalam golongan pokok ini adalah transmisi konten tanpa terlibat dalam proses pembuatan atau pengubahannya. Dalam hal transmisi sinyal televisi, aktivitas ini dapat mencakup penggabungan saluran pemrograman lengkap yang diproduksi dalam golongan pokok 60 ke dalam paket program untuk pendistribusian. Golongan pokok ini tidak mencakup: aktivitas produksi dan pascaproduksi film, audiovisual, program televisi, dan rekaman suara, termasuk jasa untuk mengubah konten audio dan video ke dalam format streaming, lihat golongan pokok 59; aktivitas penyiaran dan penyediaan jasa distribusi siaran alir (streaming) audio dan video sesuai permintaan oleh pihak ketiga, lihat golongan pokok 60."
K,62,"Aktivitas Pemrograman, Konsultasi Komputer, dan Aktivitas Terkait","Golongan pokok ini mencakup aktivitas penyediaan jasa keahlian di bidang teknologi informasi, seperti perancangan struktur dan konten, dan/atau kegiatan penulisan, modifikasi, kustomisasi, pengujian, dan penyediaan dukungan terhadap perangkat lunak/software dan aplikasi; perencanaan dan perancangan sistem komputer yang mengintegrasikan perangkat keras (hardware) komputer, perangkat lunak, dan teknologi komunikasi; manajemen dan pengoperasian sistem komputer dan/atau fasilitas pengolahan data di tempat klien (on-site); kegiatan konsultansi profesional di bidang perangkat keras, perangkat lunak, dan sistem komputer; dan aktivitas profesional dan teknis lainnya yang berkaitan dengan komputer."
K,63,"Aktivitas Jasa Infrastruktur Komputasi, Pengolahan Data, Hosting, dan Informasi Lainnya","Golongan pokok ini mencakup aktivitas penyediaan infrastruktur komputasi, pengolahan dan hosting data, serta portal pencarian web dan kegiatan lainnya yang utamanya menyediakan informasi. Golongan pokok ini tidak mencakup: aktivitas penerbitan perangkat lunak, lihat golongan pokok 58; aktivitas telekomunikasi, lihat golongan pokok 61; aktivitas pemrograman komputer, perancangan sistem komputer, dan manajemen fasilitas komputer, lihat golongan pokok 62; aktivitas kantor berita dan situs video gim daring (online), lihat golongan pokok 60; aktivitas situs perjudian, lihat golongan pokok 92; aktivitas perbaikan dan pemeliharaan komputer dan peralatan komunikasi, lihat golongan pokok 95."
L,64,"Aktivitas Jasa Keuangan, Kecuali Asuransi dan Dana Pensiun","Golongan pokok ini mencakup kegiatan mendapatkan dan menyediakan dana-dana selain untuk tujuan asuransi, dana pensiun atau jaminan sosial wajib. Golongan pokok ini juga mencakup aktivitas penyimpanan aset keuangan seperti aktivitas perusahaan holding, pembiayaan conduit serta aktivitas trust, pendanaan, dan lembaga keuangan sejenis, yang tidak mencakup kegiatan produksi ekonomi berdasarkan konsep ISIC. Unit-unit yang diklasifikasikan dalam golongan 642 ""Aktivitas perusahaan induk dan pembiayaan conduit"" dan 643 ""Aktivitas trust, pendanaan, dan lembaga keuangan sejenis"" memiliki sedikit atau tidak memiliki pekerjaan, keberadaan fisik, atau produksi secara fisik dan diikutsertakan di dalam ISIC untuk memfasilitasi klasifikasi unit-unit di dalam statistical business register. Golongan pokok ini tidak mencakup aktivitas lembaga promosi untuk pembangunan ekonomi melalui investasi jangka panjang pada tingkat lokal, regional, dan nasional yang bertindak sebagai alat pemerintah untuk menjalankan mandat kebijakan publik (lihat subgolongan 8414)."
L,65,"Asuransi Penjaminan, Reasuransi, dan Dana Pensiun, Kecuali Jaminan Sosial Wajib","Golongan pokok ini mencakup penjaminan anuitas, usaha asuransi seperti asuransi jiwa dan asuransi umum langsung serta premi investasi untuk membangun portofolio aset financial yang akan digunakan untuk klaim di masa depan. Penyediaan asuransi langsung, penjaminan, reasuransi, dan dana pensiun termasuk di dalam golongan pokok ini. Golongan pokok ini tidak mencakup penyediaan jasa terkait asuransi atas dasar balas jasa atau kontrak (lihat golongan pokok 66)."
L,66,"Aktivitas Penunjang Jasa Keuangan, Asuransi, Penjaminan dan Dana Pensiun","Golongan pokok ini mencakup penyediaan jasa yang terlibat atau mendukung transaksi keuangan atas aset dan liabilitas keuangan, tanpa mengambil hak kepemilikan atas aset dan liabilitas keuangan yang ditransaksikan, tetapi bukan disediakan sendiri oleh jasa tersebut. Jasa ini dapat diberikan dalam atau melalui berbagai media atau cara, termasuk melalui internet."
M,68,AKTIVITAS REAL ESTAT,Lihat kategori M.
N,69,AKTIVITAS HUKUM DAN AKUNTANSI,"Golongan pokok ini mencakup kegiatan perwakilan hukum atas kepentingan satu pihak terhadap pihak lain, baik di dalam maupun di luar persidangan atau lembaga yudisial lain, dilakukan oleh atau di bawah pengawasan anggota pengadilan seperti advis dan perwakilan kasus perdata, advis dan perwakilan hukum dalam kasus pidana, serta advis dan perwakilan hukum yang berkaitan dengan perselisihan tenaga kerja. Kegiatan pada golongan pokok ini mungkin tersedia secara daring. Golongan pokok ini juga mencakup kegiatan penyiapan dokumen hukum seperti hukum penggabungan, perjanjian kerjasama atau dokumen sejenis dalam kaitannya dengan pembentukan perusahaan, paten dan hak cipta/copyright, penyiapan akte, surat wasiat, trust, dan lain-lain seperti halnya kegiatan notaris publik, notaris hukum sipil, juru sita/bailift, juru pisah atau arbitrator, penguji atau pemeriksa, dan liperi lainnya. Golongan pokok ini juga mencakup kegiatan jasa akuntansi dan pembukuan seperti pengauditan catatan akuntansi, perancangan sistem akuntansi, persiapan pembukuan, dan laporan keuangan."
N,70,AKTIVITAS KANTOR PUSAT DAN KONSULTANSI MANAJEMEN,"Golongan pokok ini mencakup kegiatan penyediaan advis dan bantuan untuk usaha dan organisasi lain pada persoalan manajemen, seperti perencanaan strategis dan organisasional, penganggaran dan perencanaan keuangan, kebijakan dan tujuan pemasaran, rencana, perencanaan, kebijakan, dan praktik sumber daya manusia, penjadwalan produksi; dan perencanaan pengawasan. Golongan pokok ini juga mencakup kegiatan pengelolaan dan pengawasan unit lain dalam satu perusahaan atau kelompok perusahaan, misalnya kegiatan kantor pusat."
N,71,AKTIVITAS ARSITEKTURAL DAN ENJINERING; PENGUJIAN DAN ANALISIS TEKNIS,"Golongan pokok ini mencakup kegiatan penyediaan jasa arsitektur, jasa enjinering, jasa produksi dokumen konstruksi (drafting), jasa inspeksi bangunan, serta jasa pengukuran tanah (surveying) dan pemetaan (mapping). Golongan pokok ini juga mencakup kegiatan pelaksanaan jasa pengujian fisik, kimiawi, dan jasa pengujian analitis lainnya, serta penyediaan jasa sertifikasi teknis."
N,72,PENELITIAN DAN PENGEMBANGAN ILMIAH,"Golongan pokok ini mencakup tiga jenis aktivitas penelitian dan pengembangan: (1) penelitian dasar, yaitu kegiatan eksperimental atau teoretikal yang dilakukan terutama untuk memperoleh pengetahuan baru mengenai dasar-dasar fenomena dan fakta yang terobservasi, tanpa mengarah pada penerapan atau penggunaan tertentu; (2) penelitian terapan, yaitu investigasi orisinal yang dilakukan untuk memperoleh pengetahuan baru, dengan tujuan praktis tertentu secara langsung; dan (3) pengembangan eksperimental, yaitu kegiatan sistematis yang didasarkan pada pengetahuan yang telah ada, baik dari hasil penelitian maupun pengalaman praktis, yang diarahkan untuk menghasilkan bahan, produk, dan perangkat baru; memasang proses, sistem, dan layanan baru; serta meningkatkan secara substansial hal yang telah ada sebelumnya. Aktivitas penelitian dan pengembangan eksperimental dalam golongan pokok ini tidak dianggap sebagai kegiatan penunjang. Golongan pokok ini dibagi menjadi dua golongan, yaitu ilmu alam dan enjinering, serta ilmu sosial dan humaniora. Golongan pokok ini juga mencakup pengembangan dan produksi prototipe dengan tujuan utama untuk melakukan penyempurnaan lebih lanjut, baik prototipe tersebut dikaitkan dengan produksi massal maupun tidak."
N,73,"AKTIVITAS PERIKLANAN, PENELITIAN PASAR, DAN KEHUMASAN","Golongan pokok ini mencakup aktivitas pembuatan kampanye 
periklanan dan penempatannya di media, meliputi majalah, surat 
kabar, radio, televisi, internet, atau media lainnya, serta perancangan 
struktur, dan displai iklan. Aktivitas periklanan ini umumnya 
disediakan melalui agensi periklanan dan perwakilan media. 
Golongan pokok ini mencakup aktivitas penyediaan informasi terkait 
pemasaran barang dan jasa serta penyediaan informasi terkait 
aktivitas kehumasan dan aktivitas jajak pendapat opini publik, yang 
dapat didasarkan pada pengumpulan dan analisis data asli, atau 
penelitian dan analisis data yang telah tersedia sebelumnya. 
Golongan pokok ini tidak mencakup 
- aktivitas yang pendapatannya dihasilkan dari periklanan, harus 
diklasifikasikan berdasarkan aktivitas utamanya, misalnya 
penerbitan iklan surat kabar; 
- penjualan ruang atau waktu iklan yang secara langsung dikelola 
oleh pemilik media (yaitu penerbit, dan sebagainya), lihat 
subgolongan pada aktivitas yang bersesuaian."
N,74,"AKTIVITAS PROFESIONAL, ILMIAH, DAN TEKNIS LAINNYA","Golongan pokok ini mencakup aktivitas penyediaan jasa profesional 
di bidang ilmiah dan teknis (selain aktivitas jasa hukum dan 
akuntansi; aktivitas jasa arsitektur dan enjinering; pengujian dan 
analisis teknis; aktivitas konsultansi manajemen dan bisnis; aktivitas 
penelitian dan pengembangan; serta aktivitas periklanan. 
Kelompok ini tidak mencakup 
- aktivitas penulis untuk semua subyek, meliputi penulis fiksi, teknis, 
dan lain-lain, lihat subgolongan 9011"
N,75,AKTIVITAS KESEHATAN HEWAN (VETERINER),"Golongan pokok ini mencakup penyediaan perawatan kesehatan hewan dan kegiatan pengawasan untuk hewan ternak dan hewan piaraan dilakukan oleh dokter hewan yang memenuhi syarat pada rumah sakit hewan, seperti halnya ketika mengunjungi peternakan, kandang atau rumah, atau di tempat lain. Golongan pokok ini juga mencakup pengobatan klinik hama penyakit dan kegiatan diagnostik lainnya dari asisten dokter hewan atau personel lainnya dan kegiatan ambulans hewan."
O,77,PENYEWAAN DAN SEWA GUNA USAHA,"Golongan pokok ini mencakup kegiatan penyewaan dan sewa guna 
usaha untuk aset berwujud dan aset tidak berwujud nonfinansial, 
serta kegiatan jasa intermediasi untuk penyewaan dan sewa guna 
usaha. Untuk kegiatan sewa guna usaha, yang termasuk dalam 
golongan pokok ini hanya penyediaan sewa guna usaha operasional 
(tanpa hak opsi). 
Penyewa atau pemberi sewa menanggung risiko ekonomi atas barang 
berwujud dan aset tidak berwujud nonfinansial yang disediakan, 
sedangkan perantara tidak menanggung risiko ekonomi atas barang 
berwujud dan aset tidak berwujud nonfinansial yang diperantarai. 
Dalam golongan pokok ini, berbagai macam barang berwujud, seperti 
kendaraan, komputer, barang konsumsi, serta mesin dan peralatan 
industri disewakan kepada konsumen sebagai pengganti pembayaran 
sewa. Izin penggunaan aset, seperti paten, merek dagang, nama
dagang, dan perjanjian waralaba untuk pembayaran royalti dan balas 
jasa lisensi yang dibayarkan pada pemilik aset juga termasuk dalam 
golongan pokok ini. 
Golongan pokok ini tidak mencakup 
- penyewaan peralatan dengan operator, lihat kelompok yang sesuai 
dengan aktivitas yang dilakukan dengan jenis peralatan yang 
disewakan, seperti konstruksi (kategori F), transportasi (kategori 
H); 
- pengaliran/streaming konten, seperti perangkat lunak dan buku 
oleh penerbit konten, lihat golongan pokok 58; 
- aktivitas pengaliran buku audio yang tidak terkait dengan 
penerbitannya, lihat subgolongan 6010; 
- sewa guna usaha finansial, lihat subgolongan 6491; - penyewaan 
real estat, lihat kategori M."
O,78,AKTIVITAS KETENAGAKERJAAN,"Golongan pokok ini mencakup kegiatan pencatatan lowongan 
pekerjaan dan rujukan atau penempatan tenaga kerja pada suatu 
pekerjaan untuk pencari kerja yang bukan merupakan pegawai dari 
lembaga penempatan tenaga kerja, penyediaan tenaga kerja untuk 
perusahaan klien dalam jangka waktu tertentu guna menambah 
tenaga kerja klien, dan kegiatan penyediaan sumber daya manusia 
lainnya. 
Golongan pokok ini mencakup 
- kegiatan pencarian dan penempatan personel; 
- kegiatan agensi pemilihan peran teater; - kegiatan 
agensi perekrutan; - kegiatan headhunting. 
Golongan pokok ini tidak mencakup kegiatan agen untuk artis 
perorangan, lihat subgolongan 7499."
O,79,"AKTIVITAS AGEN PERJALANAN, PENYELENGGARA TUR, DAN JASA TERKAIT","Golongan pokok ini mencakup kegiatan keagenan yang terutama 
bergerak dalam penjualan dan pengoperasian paket perjalanan yang 
meliputi transportasi, akomodasi, rekreasi dan hiburan, pemandu 
wisata, dan layanan lainnya kepada masyarakat umum dan klien 
komersial, serta kegiatan mengatur dan menyusun tur yang dijual 
melalui agen perjalanan atau langsung oleh biro perjalanan, dan 
layanan terkait perjalanan lainnya termasuk layanan reservasi. 
Golongan pokok ini juga mencakup 
- kegiatan pemandu wisata dan kegiatan promosi pariwisata; - jasa 
intermediasi untuk perjalanan. 
Golongan pokok ini tidak mencakup 
- aktivitas jasa intermediasi untuk transportasi penumpang saja, 
lihat subgolongan 5232; 
- aktivitas jasa intermediasi untuk akomodasi saja, lihat 
subgolongan 5540; 
- aktivitas jasa intermediasi untuk aktivitas layanan makanan dan 
minuman, lihat subgolongan 5640; 
- aktivitas jasa intermediasi untuk penyewaan mobil, rumah 
bergerak, dan trailer, lihat subgolongan 7751; 
- aktivitas jasa intermediasi untuk tiket hiburan, olahraga, dan 
teater, lihat subgolongan 8240."
O,80,AKTIVITAS INVESTIGASI DAN KEAMANAN,"Golongan pokok ini mencakup layanan terkait keamanan, seperti layanan investigasi swasta, komersial, korporat, asuransi, dan pidana untuk pelaksanaan hak di pengadilan; layanan penjagaan dan patroli; mengambil dan mengirimkan uang, tanda terima, atau barang berharga lainnya dengan personel dan peralatan untuk melindungi barang tersebut saat dalam perjalanan; layanan sistem keamanan dan pengoperasian sistem alarm keamanan elektronik, seperti alarm antipencurian dan kebakaran, serta layanan sistem pemantauan jarak jauh dan pengawasan video yang kegiatannya berfokus pada pemantauan jarak jauh sistem ini, tetapi sering kali juga melibatkan layanan penjualan, pemasangan, dan perbaikan. Golongan pokok ini juga mencakup layanan keamanan yang terkait dengan pencegahan dan keselamatan orang di acara publik dan tempat yang terbuka untuk umum; layanan keamanan yang menyediakan layanan mobil lapis baja. Golongan pokok ini tidak mencakup aktifitas keamanan teknologi informasi, lihat golongan pokok 62."
O,81,AKTIVITAS JASA UNTUK BANGUNAN DAN LANSKAP,"Golongan pokok ini mencakup penyediaan layanan jasa penunjang 
umum, seperti 
- penyediaan gabungan jasa layanan penunjang dalam fasilitas 
klien; 
- pembersihan semua jenis interior dan eksterior bangunan; 
- pembersihan mesin industri, pembersihan kereta api, bus, 
pesawat, dll.; 
- pembersihan bagian dalam tanker jalan raya dan laut; 
- kegiatan disinfeksi dan pemusnahan untuk bangunan, kapal, 
kereta api, dll.; 
- pembersihan botol; 
- penyapuan jalan; 
- pemindahan salju dan es; 
- penyediaan layanan perawatan dan pemeliharaan lanskap"
O,82,"AKTIVITAS ADMINISTRATIF, AKTIVITAS PENUNJANG KANTOR DAN AKTIVITAS PENUNJANG USAHA","Golongan pokok ini mencakup penyediaan sekumpulan jasa ketatausahaan sehari-hari seperti halnya bisnis rutin yang terus menerus mendukung fungsi lainnya, atas dasar balas jasa atau kontrak. Golongan pokok ini juga mencakup semua kegiatan jasa penunjang khususnya yang disediakan untuk bisnis yang tidak diklasifikasikan di tempat lain. Kegiatan yang diklasifikasikan di sini tidak menyediakan tenaga operasional yang melakukan keseluruhan operasional usaha."
P,84,"ADMINISTRASI PEMERINTAHAN DAN PERTAHANAN, SERTA JAMINAN SOSIAL WAJIB",Lihat kategori P.
Q,85,PENDIDIKAN,Lihat kategori Q
R,86,AKTIVITAS KESEHATAN MANUSIA,"Golongan pokok ini mencakup kegiatan berbagai macam pelayanan kesehatan rawat inap di rumah sakit dan lembaga medis, baik rumah sakit umum atau spesialis dan lembaga kesehatan masyarakat, jangka pendek atau jangka panjang, pengobatan umum atau khusus yang berkaitan dengan penyediaan pengobatan medis dan diagnostik untuk pasien dalam berbagai kondisi medis."
R,87,AKTIVITAS PERAWATAN BERBASIS RESIDENSIAL,"Golongan pokok ini mencakup penyediaan jasa kegiatan berbasis residensial yang dikombinasikan baik dengan perawatan, pengawasan atau perawatan lain yang diperlukan oleh penghuni panti."
R,88,AKTIVITAS SOSIAL TANPA AKOMODASI,Golongan pokok ini mencakup penyediaan jasa sosial di luar panti yang meliputi berbagai jasa bantuan sosial untuk masyarakat.
S,90,AKTIVITAS PENCIPTAAN KARYA SENI DAN SENI PERTUNJUKAN,Golongan pokok ini mencakup aktivitas penciptaan karya seni dan seni pertunjukan dan pengoperasian fasilitas dan penyediaan jasa untuk memenuhi kebutuhan kebudayaan dan hiburan.
S,91,"PERPUSTAKAAN, ARSIP, MUSEUM, DAN KEGIATAN KEBUDAYAAN LAINNYA","Golongan pokok ini mencakup aktivitas perpustakaan, kearsipan, pengoperasian berbagai macam museum, koleksi warisan/peninggalan dalam berbagai bentuk, termasuk dokumen perpustakaan dan arsip, kebun raya dan kebun binatang, pengoperasian situs/bangunan bersejarah dan arkeologi, dan aktivitas taman konservasi alam."
S,92,AKTIVITAS PERJUDIAN DAN PERTARUHAN,Lihat subgolongan 9200.
S,93,"AKTIVITAS OLAHRAGA, HIBURAN, DAN REKREASI","Golongan pokok ini mencakup aktivitas olahraga sebagai bentuk aktivitas fisik, baik yang dilakukan sesekali maupun secara terorganisir, dengan tujuan untuk mengekspresikan dan meningkatkan kebugaran fisik dan kesehatan mental, dan membangun hubungan sosial atau mencapai hasil dalam kompetisi di semua level."
T,94,AKTIVITAS KEANGGOTAAN ORGANISASI,Golongan pokok ini mencakup kegiatan organisasi yang mewakili kepentingan kelompok khusus atau memperjuangkan ide atau gagasan organisasi kepada masyarakat umum.
T,95,"REPARASI DAN PEMELIHARAAN KOMPUTER, BARANG KEPERLUAN PRIBADI DAN PERLENGKAPAN RUMAH TANGGA, SERTA KENDARAAN BERMOTOR DAN SEPEDA MOTOR","Golongan pokok ini mencakup kegiatan reparasi dan perawatan/pemeliharaan perangkat komputer dan perlengkapannya, peralatan komunikasi dan barang elektronik konsumen, peralatan berkebun, alas kaki dan barang dari kulit, furnitur dan peralatan rumah tangga, pakaian jadi, barang untuk olahraga, instrumen atau alat musik, dan barang keperluan pribadi dan barang perlengkapan rumah tangga lainnya, serta perbaikan dan pemeliharaan kendaraan bermotor dan sepeda motor."
T,96,AKTIVITAS JASA PERORANGAN,"Golongan pokok ini mencakup kegiatan jasa perorangan lain yang tidak termasuk dimanapun dalam klasifikasi ini, seperti pencucian produk tekstil dan kulit berbulu, penataan rambut dan perawatan kecantikan lain, jasa pemakaman dan jasa lainnya yang terkait dengan pemakaman."
U,97,AKTIVITAS RUMAH TANGGA SEBAGAI PEMBERI KERJA BAGI PEKERJA RUMAH TANGGA (PRT),Lihat kelompok 97000.
U,98,AKTIVITAS PRODUKSI BERAGAM BARANG DAN JASA OLEH RUMAH TANGGA UNTUK KEPERLUAN SENDIRI,Golongan pokok ini mencakup kegiatan yang menghasilkan barang dan jasa oleh rumah tangga untuk memenuhi kebutuhan sendiri.
V,99,AKTIVITAS BADAN INTERNASIONAL DAN BADAN EKSTRA INTERNASIONAL LAINNYA,Lihat subgolongan 9900
